,Debt Amount,,,,,,,,,,,
State,5000,7500,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000
AK," $2,538 "," $3,106 "," $3,650 "," $5,400 "," $4,017 "," $4,430 "," $5,138 "," $5,375 "," $6,051 "," $5,008 "," $5,225 "," $7,501 "
AL," $2,191 "," $2,682 "," $3,151 "," $4,656 "," $5,417 "," $3,825 "," $6,467 "," $4,641 "," $5,224 "," $6,950 "," $4,511 "," $5,600 "
AR," $2,085 "," $3,950 "," $2,998 "," $5,767 "," $3,300 "," $5,950 "," $7,175 "," $4,416 "," $4,971 "," $4,114 "," $4,292 "," $8,000 "
AZ," $3,400 "," $2,664 "," $3,130 "," $3,669 "," $4,108 "," $4,350 "," $4,389 "," $6,500 "," $5,189 "," $4,295 "," $4,481 "," $6,238 "
CA," $3,417 "," $2,985 "," $3,584 "," $4,117 "," $3,913 "," $4,785 "," $6,313 "," $5,210 "," $8,250 "," $4,918 "," $5,131 "," $7,439 "
CO," $2,502 "," $2,450 "," $3,599 "," $4,688 "," $3,606 "," $3,750 "," $5,389 "," $5,299 "," $5,965 "," $4,937 "," $5,151 "," $7,900 "
CT," $2,237 "," $1,250 "," $3,218 "," $4,557 "," $5,575 "," $3,905 "," $4,783 "," $4,739 "," $5,334 "," $4,415 "," $4,606 "," $7,850 "
DE," $2,286 "," $2,798 "," $3,288 "," $3,735 "," $2,816 "," $3,990 "," $5,165 "," $4,841 "," $5,450 "," $4,510 "," $4,706 "," $6,756 "
FL," $1,500 "," $2,667 "," $3,069 "," $3,822 "," $4,103 "," $3,950 "," $5,299 "," $3,900 "," $5,087 "," $5,300 "," $3,000 "," $7,295 "
GA," $2,250 "," $3,095 "," $3,636 "," $4,285 "," $4,678 "," $5,450 "," $5,286 "," $3,863 "," $6,028 "," $4,989 "," $6,250 "," $8,265 "
HI," $1,356 "," $1,659 "," $1,950 "," $3,450 "," $3,000 "," $5,000 "," $5,167 "," $2,872 "," $3,233 "," $2,675 "," $2,791 "," $4,007 "
IA," $2,593 "," $3,173 "," $3,729 "," $3,225 "," $4,716 "," $4,525 "," $5,900 "," $5,491 "," $6,181 "," $5,116 "," $5,337 "," $7,662 "
ID," $2,007 "," $2,456 "," $2,886 "," $4,033 "," $5,950 "," $3,502 "," $5,100 "," $4,250 "," $4,784 "," $3,959 "," $4,131 "," $3,950 "
